Genome	Phylum	Class	Order	Family	Genus
20298_3_26	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
20298_3_28	Firmicutes	Bacilli	Bacillales	Exiguobacterium	Exiguobacterium
20298_3_2	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
20298_3_30	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
20298_3_34	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_3_35	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
20298_3_36	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
20298_3_37	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
20298_3_39	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_3_3	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
20298_3_48	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
20298_3_4	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
20298_3_52	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
20298_3_57	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
20298_3_58	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_3_59	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_3_62	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
20298_3_63	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
20298_3_64	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
20298_3_65	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
20298_3_66	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
20298_3_69	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
20298_3_70	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
20298_3_71	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_3_81	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
20298_3_8	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
20298_3_9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
20427_4_22	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
20427_4_25	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
21673_4_12	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
21673_4_18	Firmicutes	Clostridia	Clostridiales	NA	NA
21673_4_19	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
21673_4_22	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
21673_4_33	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
21673_4_36	Firmicutes	Clostridia	Clostridiales	NA	NA
21673_4_37	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
21673_4_38	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
21673_4_3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
21673_4_43	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
21673_4_46	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
21673_4_53	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
21673_4_55	Firmicutes	Bacilli	NA	NA	NA
21673_4_5	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
21673_4_71	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
21673_4_77	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
21673_4_80	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
21673_4_87	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
21673_4_91	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
8080_1_69	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
8080_1_72	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
8080_1_73	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
8080_1_77	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
8080_1_78	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
8080_1_80	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
8080_1_81	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
8080_1_83	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
8080_1_93	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000010185	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Finegoldia
GCF_000020425	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GCF_000026505	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000144975	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
GCF_000145315	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
GCF_000146325	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus
GCF_000146835	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
GCF_000148995	Firmicutes	Bacilli	Bacillales	Listeriaceae	NA
GCF_000153885	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000154285	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000154325	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000154385	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
GCF_000154405	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Finegoldia
GCF_000154465	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
GCF_000154505	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000154545	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000154805	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
GCF_000154825	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000154845	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000154865	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia
GCF_000154985	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
GCF_000155085	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000155205	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
GCF_000155435	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000155495	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000155515	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000155815	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000155855	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000155875	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000155955	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas
GCF_000155975	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
GCF_000155995	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
GCF_000156015	Firmicutes	Clostridia	Clostridiales	NA	NA
GCF_000156055	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	NA
GCF_000156175	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
GCF_000156215	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
GCF_000156375	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
GCF_000156395	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia
GCF_000156515	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
GCF_000156655	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000157015	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000157035	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
GCF_000157915	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000157935	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
GCF_000157955	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000157995	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
GCF_000158055	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia
GCF_000158075	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000158195	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000158215	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000158235	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000158275	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000158295	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000158315	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000158375	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000158415	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
GCF_000158435	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000158455	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000158475	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter
GCF_000158495	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter
GCF_000158655	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
GCF_000159055	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
GCF_000159175	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000159215	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000159375	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000159415	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000159455	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000159675	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
GCF_000159715	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000159855	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000159915	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000159975	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
GCF_000160455	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA
GCF_000160575	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella
GCF_000160595	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
GCF_000160855	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
GCF_000161955	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
GCF_000162075	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
GCF_000162115	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
GCF_000162155	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000162215	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
GCF_000162235	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000162575	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
GCF_000163075	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
GCF_000163735	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
GCF_000163935	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
GCF_000163955	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella
GCF_000165065	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
