Class	Species
786	UMGS1737
787	UMGS1738
788	UMGS1740
789	UMGS1741
790	UMGS1742
791	UMGS1743
792	UMGS1745
793	UMGS1747
794	UMGS1749
795	UMGS175
796	UMGS1752
797	UMGS1753
798	UMGS1754
799	UMGS1755
800	UMGS1756
801	UMGS1759
802	UMGS176
803	UMGS1761
804	UMGS1762
805	UMGS1763
806	UMGS1764
807	UMGS1765
808	UMGS1767
809	UMGS1769
810	UMGS177
811	UMGS1771
812	UMGS1778
813	UMGS1779
814	UMGS178
815	UMGS1781
816	UMGS1782
817	UMGS1784
818	UMGS1786
819	UMGS1787
820	UMGS1788
821	UMGS1790
822	UMGS1794
823	UMGS1795
824	UMGS1796
825	UMGS18
826	UMGS1800
827	UMGS1801
828	UMGS1806
829	UMGS1807
830	UMGS1808
831	UMGS1809
832	UMGS181
833	UMGS1811
834	UMGS1816
835	UMGS1817
836	UMGS1818
837	UMGS182
838	UMGS1821
839	UMGS1822
840	UMGS1823
841	UMGS1824
842	UMGS1825
843	UMGS183
844	UMGS1832
845	UMGS1833
846	UMGS1834
847	UMGS1835
848	UMGS1836
849	UMGS1837
850	UMGS184
851	UMGS1841
852	UMGS1842
853	UMGS1843
854	UMGS1844
855	UMGS1845
856	UMGS1846
857	UMGS1847
858	UMGS185
859	UMGS1851
860	UMGS1852
861	UMGS1853
862	UMGS1857
863	UMGS186
864	UMGS1860
865	UMGS1861
866	UMGS1862
867	UMGS1864
868	UMGS1869
869	UMGS1870
870	UMGS1871
871	UMGS1873
872	UMGS1874
873	UMGS1875
874	UMGS1879
875	UMGS188
876	UMGS1882
877	UMGS1884
878	UMGS1886
879	UMGS1887
880	UMGS1889
881	UMGS1890
882	UMGS1894
883	UMGS1895
884	UMGS1896
885	UMGS1897
886	UMGS190
887	UMGS1901
888	UMGS1903
889	UMGS1905
890	UMGS1909
891	UMGS1910
892	UMGS1912
893	UMGS1913
894	UMGS1914
895	UMGS1917
896	UMGS1918
897	UMGS1919
898	UMGS192
899	UMGS1920
900	UMGS1921
901	UMGS1922
902	UMGS1923
903	UMGS1925
904	UMGS1927
905	UMGS1928
906	UMGS1929
907	UMGS193
908	UMGS1933
909	UMGS1934
910	UMGS1935
911	UMGS1936
912	UMGS1937
913	UMGS1938
914	UMGS1939
915	UMGS194
916	UMGS1942
917	UMGS1943
918	UMGS1944
919	UMGS1946
920	UMGS1948
921	UMGS1949
922	UMGS1952
923	UMGS1954
924	UMGS1959
925	UMGS1963
926	UMGS1965
927	UMGS1966
928	UMGS1967
929	UMGS1968
930	UMGS1969
931	UMGS197
932	UMGS1970
933	UMGS1972
934	UMGS1974
935	UMGS1977
936	UMGS1979
937	UMGS1980
938	UMGS1982
939	UMGS1983
940	UMGS1984
941	UMGS1985
942	UMGS1987
943	UMGS1988
944	UMGS199
945	UMGS1991
946	UMGS1992
947	UMGS1994
948	UMGS1995
949	UMGS1996
950	UMGS2
951	UMGS20
952	UMGS200
953	UMGS2001
954	UMGS2002
955	UMGS2004
956	UMGS2005
957	UMGS2006
958	UMGS2007
959	UMGS2009
960	UMGS201
961	UMGS2010
962	UMGS2011
963	UMGS2014
964	UMGS2019
965	UMGS2020
966	UMGS2021
967	UMGS2022
968	UMGS2024
969	UMGS2025
970	UMGS2027
971	UMGS2028
972	UMGS2029
973	UMGS2030
974	UMGS2033
975	UMGS2034
976	UMGS2035
977	UMGS2039
978	UMGS204
979	UMGS2040
980	UMGS2041
981	UMGS2042
982	UMGS2043
983	UMGS2044
984	UMGS2047
985	UMGS2048
986	UMGS2049
987	UMGS205
988	UMGS2050
989	UMGS2051
990	UMGS2052
991	UMGS2053
992	UMGS2056
993	UMGS2058
994	UMGS2059
995	UMGS206
996	UMGS2062
997	UMGS2063
998	UMGS2064
999	UMGS2066
1000	UMGS2067
1001	UMGS2071
1002	UMGS2074
1003	UMGS2075
1004	UMGS2076
1005	UMGS2079
1006	UMGS208
1007	UMGS212
1008	UMGS215
1009	UMGS218
1010	UMGS219
1011	UMGS220
1012	UMGS222
1013	UMGS223
1014	UMGS227
1015	UMGS228
1016	UMGS229
1017	UMGS235
1018	UMGS239
1019	UMGS24
1020	UMGS240
1021	UMGS242
1022	UMGS244
1023	UMGS248
1024	UMGS249
1025	UMGS250
1026	UMGS252
1027	UMGS253
1028	UMGS254
1029	UMGS255
1030	UMGS256
1031	UMGS257
1032	UMGS258
1033	UMGS26
1034	UMGS269
1035	UMGS270
1036	UMGS271
1037	UMGS272
1038	UMGS275
1039	UMGS276
1040	UMGS277
1041	UMGS278
1042	UMGS281
1043	UMGS282
1044	UMGS283
1045	UMGS284
1046	UMGS287
1047	UMGS288
1048	UMGS289
1049	UMGS29
1050	UMGS290
1051	UMGS291
1052	UMGS292
1053	UMGS293
1054	UMGS294
1055	UMGS295
1056	UMGS296
1057	UMGS297
1058	UMGS298
1059	UMGS299
1060	UMGS3
1061	UMGS300
1062	UMGS301
1063	UMGS302
1064	UMGS303
1065	UMGS304
1066	UMGS305
1067	UMGS306
1068	UMGS307
1069	UMGS308
1070	UMGS309
1071	UMGS31
1072	UMGS310
1073	UMGS311
1074	UMGS312
1075	UMGS313
1076	UMGS314
1077	UMGS315
1078	UMGS316
1079	UMGS317
1080	UMGS318
1081	UMGS319
1082	UMGS320
1083	UMGS321
1084	UMGS322
1085	UMGS323
1086	UMGS324
1087	UMGS325
1088	UMGS326
1089	UMGS327
1090	UMGS328
1091	UMGS33
1092	UMGS331
1093	UMGS332
1094	UMGS333
1095	UMGS334
1096	UMGS335
1097	UMGS337
1098	UMGS338
1099	UMGS339
1100	UMGS34
1101	UMGS340
1102	UMGS341
1103	UMGS343
1104	UMGS344
1105	UMGS346
1106	UMGS347
1107	UMGS349
1108	UMGS35
1109	UMGS351
1110	UMGS353
1111	UMGS355
1112	UMGS356
1113	UMGS358
1114	UMGS359
1115	UMGS36
1116	UMGS362
1117	UMGS363
1118	UMGS367
1119	UMGS368
1120	UMGS369
1121	UMGS37
1122	UMGS370
1123	UMGS372
1124	UMGS373
1125	UMGS375
1126	UMGS376
1127	UMGS377
1128	UMGS378
1129	UMGS379
1130	UMGS38
1131	UMGS380
1132	UMGS381
1133	UMGS382
1134	UMGS383
1135	UMGS384
1136	UMGS385
1137	UMGS386
1138	UMGS387
1139	UMGS388
1140	UMGS389
1141	UMGS39
1142	UMGS390
1143	UMGS391
1144	UMGS393
1145	UMGS394
1146	UMGS395
1147	UMGS396
1148	UMGS397
1149	UMGS398
1150	UMGS399
1151	UMGS4
1152	UMGS40
1153	UMGS402
1154	UMGS406
1155	UMGS407
1156	UMGS408
1157	UMGS41
1158	UMGS410
1159	UMGS411
1160	UMGS412
1161	UMGS414
1162	UMGS417
1163	UMGS418
1164	UMGS419
1165	UMGS42
1166	UMGS420
1167	UMGS421
1168	UMGS422
1169	UMGS425
1170	UMGS426
1171	UMGS427
1172	UMGS428
1173	UMGS429
1174	UMGS43
1175	UMGS430
1176	UMGS431
1177	UMGS433
1178	UMGS437
1179	UMGS438
1180	UMGS439
1181	UMGS44
1182	UMGS441
1183	UMGS442
1184	UMGS443
1185	UMGS445
1186	UMGS446
1187	UMGS447
1188	UMGS448
1189	UMGS449
1190	UMGS45
1191	UMGS450
1192	UMGS453
1193	UMGS456
1194	UMGS457
1195	UMGS458
1196	UMGS463
1197	UMGS465
1198	UMGS466
1199	UMGS467
1200	UMGS468
1201	UMGS47
1202	UMGS470
1203	UMGS472
1204	UMGS475
1205	UMGS476
1206	UMGS478
1207	UMGS479
1208	UMGS480
1209	UMGS481
1210	UMGS485
1211	UMGS487
1212	UMGS488
1213	UMGS490
1214	UMGS492
1215	UMGS493
1216	UMGS495
1217	UMGS498
1218	UMGS499
1219	UMGS50
1220	UMGS500
1221	UMGS503
1222	UMGS504
1223	UMGS505
1224	UMGS506
1225	UMGS508
1226	UMGS51
1227	UMGS510
1228	UMGS511
1229	UMGS512
1230	UMGS513
1231	UMGS514
1232	UMGS515
1233	UMGS516
1234	UMGS517
1235	UMGS518
1236	UMGS519
1237	UMGS52
1238	UMGS520
1239	UMGS523
1240	UMGS524
1241	UMGS525
1242	UMGS526
1243	UMGS53
1244	UMGS533
1245	UMGS536
1246	UMGS539
1247	UMGS54
1248	UMGS540
1249	UMGS541
1250	UMGS542
1251	UMGS543
1252	UMGS545
1253	UMGS547
1254	UMGS548
1255	UMGS55
1256	UMGS552
1257	UMGS556
1258	UMGS558
1259	UMGS559
1260	UMGS56
1261	UMGS561
1262	UMGS562
1263	UMGS564
1264	UMGS566
1265	UMGS567
1266	UMGS569
1267	UMGS570
1268	UMGS571
1269	UMGS572
1270	UMGS573
1271	UMGS574
1272	UMGS578
1273	UMGS579
1274	UMGS580
1275	UMGS582
1276	UMGS585
1277	UMGS586
1278	UMGS587
1279	UMGS588
1280	UMGS589
1281	UMGS59
1282	UMGS590
1283	UMGS593
1284	UMGS594
1285	UMGS595
1286	UMGS6
1287	UMGS600
1288	UMGS602
1289	UMGS603
1290	UMGS604
1291	UMGS605
1292	UMGS607
1293	UMGS61
1294	UMGS613
1295	UMGS615
1296	UMGS616
1297	UMGS617
1298	UMGS62
1299	UMGS620
1300	UMGS622
1301	UMGS623
1302	UMGS624
1303	UMGS626
1304	UMGS627
1305	UMGS628
1306	UMGS63
1307	UMGS630
1308	UMGS631
1309	UMGS632
1310	UMGS633
1311	UMGS634
1312	UMGS638
1313	UMGS639
1314	UMGS640
1315	UMGS641
1316	UMGS642
1317	UMGS643
1318	UMGS644
1319	UMGS645
1320	UMGS646
1321	UMGS647
1322	UMGS648
1323	UMGS649
1324	UMGS65
1325	UMGS651
1326	UMGS652
1327	UMGS653
1328	UMGS654
1329	UMGS655
1330	UMGS657
1331	UMGS660
1332	UMGS661
1333	UMGS662
1334	UMGS663
1335	UMGS665
1336	UMGS666
1337	UMGS667
1338	UMGS669
1339	UMGS672
1340	UMGS674
1341	UMGS675
1342	UMGS678
1343	UMGS68
1344	UMGS681
1345	UMGS682
1346	UMGS683
1347	UMGS684
1348	UMGS69
1349	UMGS691
1350	UMGS695
1351	UMGS698
1352	UMGS699
1353	UMGS70
1354	UMGS701
1355	UMGS704
1356	UMGS706
1357	UMGS709
1358	UMGS71
1359	UMGS712
1360	UMGS713
1361	UMGS714
1362	UMGS716
1363	UMGS717
1364	UMGS718
1365	UMGS719
1366	UMGS720
1367	UMGS721
1368	UMGS722
1369	UMGS723
1370	UMGS724
1371	UMGS725
1372	UMGS727
1373	UMGS728
1374	UMGS73
1375	UMGS733
1376	UMGS734
1377	UMGS737
1378	UMGS739
1379	UMGS74
1380	UMGS741
1381	UMGS742
1382	UMGS744
1383	UMGS745
1384	UMGS749
1385	UMGS750
1386	UMGS751
1387	UMGS753
1388	UMGS757
1389	UMGS758
1390	UMGS760
1391	UMGS761
1392	UMGS763
1393	UMGS766
1394	UMGS767
1395	UMGS769
1396	UMGS770
1397	UMGS771
1398	UMGS774
1399	UMGS776
1400	UMGS779
1401	UMGS78
1402	UMGS780
1403	UMGS781
1404	UMGS783
1405	UMGS784
1406	UMGS786
1407	UMGS787
1408	UMGS788
1409	UMGS789
1410	UMGS79
1411	UMGS790
1412	UMGS791
1413	UMGS793
1414	UMGS795
1415	UMGS796
1416	UMGS797
1417	UMGS799
1418	UMGS8
1419	UMGS80
1420	UMGS801
1421	UMGS803
1422	UMGS804
1423	UMGS805
1424	UMGS806
1425	UMGS809
1426	UMGS812
1427	UMGS813
1428	UMGS816
1429	UMGS817
1430	UMGS819
1431	UMGS82
1432	UMGS820
1433	UMGS822
1434	UMGS823
1435	UMGS825
1436	UMGS826
1437	UMGS832
1438	UMGS833
1439	UMGS836
1440	UMGS840
1441	UMGS842
1442	UMGS844
1443	UMGS845
1444	UMGS846
1445	UMGS847
1446	UMGS848
1447	UMGS849
1448	UMGS85
1449	UMGS850
1450	UMGS851
1451	UMGS852
1452	UMGS853
1453	UMGS854
1454	UMGS857
1455	UMGS864
1456	UMGS866
1457	UMGS867
1458	UMGS868
1459	UMGS869
1460	UMGS871
1461	UMGS876
1462	UMGS877
1463	UMGS878
1464	UMGS88
1465	UMGS881
1466	UMGS886
1467	UMGS888
1468	UMGS889
1469	UMGS89
1470	UMGS891
1471	UMGS892
1472	UMGS895
1473	UMGS896
1474	UMGS899
1475	UMGS9
1476	UMGS90
1477	UMGS901
1478	UMGS903
1479	UMGS904
1480	UMGS906
1481	UMGS907
1482	UMGS908
1483	UMGS909
1484	UMGS91
1485	UMGS912
1486	UMGS919
1487	UMGS92
1488	UMGS920
1489	UMGS921
1490	UMGS923
1491	UMGS925
1492	UMGS93
1493	UMGS933
1494	UMGS935
1495	UMGS937
1496	UMGS938
1497	UMGS939
1498	UMGS94
1499	UMGS941
1500	UMGS943
1501	UMGS944
1502	UMGS945
1503	UMGS950
1504	UMGS954
1505	UMGS955
1506	UMGS956
1507	UMGS958
1508	UMGS959
1509	UMGS960
1510	UMGS961
1511	UMGS962
1512	UMGS963
1513	UMGS965
1514	UMGS967
1515	UMGS969
1516	UMGS97
1517	UMGS970
1518	UMGS971
1519	UMGS972
1520	UMGS978
1521	UMGS980
1522	UMGS983
1523	UMGS984
1524	UMGS985
1525	UMGS986
1526	UMGS987
1527	UMGS988
1528	UMGS989
1529	UMGS990
1530	UMGS992
1531	UMGS994
1532	UMGS996
1533	UMGS997
1534	UMGS998
